balance,balance_frequency,purchases,oneoff_purchases,installments_purchases,cash_advance,purchases_frequency,oneoff_purchases_frequency,installments_purchases_frequency,cash_advance_frequency,cash_advance_trx,purchases_trx,credit_limit,payments,minimum_payments,prc_full_payment,tenure
2446.71,1.0,0.0,0.0,0.0,5281.05,0.0,0.0,0.0,0.25,6.0,0.0,5000.0,5695.396,696.157,0.0,12.0
3805.63,1.0,0.0,0.0,0.0,2132.878,0.0,0.0,0.0,0.455,9.0,0.0,4000.0,862.813,803.521,0.0,11.0
12596.422,1.0,0.0,0.0,0.0,3252.26,0.0,0.0,0.0,0.083,6.0,0.0,14000.0,3031.588,2946.488,0.0,12.0
2303.956,0.889,0.0,0.0,0.0,5585.816,0.0,0.0,0.0,0.778,21.0,0.0,6000.0,331.45,443.577,0.0,9.0
61.08,1.0,729.6,0.0,729.6,0.0,1.0,0.0,1.0,0.0,0.0,22.0,2500.0,733.045,174.465,0.833,12.0
1089.528,1.0,0.0,0.0,0.0,76.027,0.0,0.0,0.0,0.083,1.0,0.0,1200.0,371.903,421.748,0.0,12.0
130.645,1.0,338.79,0.0,338.79,0.0,0.917,0.0,0.917,0.0,0.0,19.0,1500.0,196.798,176.915,0.083,12.0
28.853,0.625,251.55,60.0,191.55,0.0,0.625,0.125,0.5,0.0,0.0,8.0,500.0,147.577,89.98,0.667,8.0
1173.663,0.818,0.0,0.0,0.0,1422.49,0.0,0.0,0.0,0.083,1.0,0.0,1800.0,238.582,258.65,0.0,12.0
579.244,1.0,505.48,505.48,0.0,0.0,0.333,0.333,0.0,0.0,0.0,6.0,1950.0,188.304,302.435,0.0,12.0
2801.239,0.909,0.0,0.0,0.0,7216.49,0.0,0.0,0.0,0.583,9.0,0.0,10000.0,696.539,1095.735,0.0,12.0
2714.363,0.727,50.62,50.62,0.0,4424.092,0.083,0.083,0.0,0.25,6.0,1.0,7000.0,1651.122,1349.298,0.0,12.0
2124.826,1.0,967.61,397.61,570.0,581.651,0.833,0.167,0.75,0.25,3.0,12.0,5000.0,1778.726,477.543,0.0,12.0
1812.543,0.857,2918.08,2918.08,0.0,0.0,0.571,0.571,0.0,0.0,0.0,5.0,3000.0,247.249,297.395,0.0,7.0
1.875,0.364,433.32,0.0,433.32,0.0,1.0,0.0,1.0,0.0,0.0,12.0,2000.0,238.914,7.071,0.0,12.0
3212.963,1.0,0.0,0.0,0.0,185.533,0.0,0.0,0.0,0.083,2.0,0.0,3500.0,766.729,1044.358,0.0,12.0
7638.382,1.0,0.0,0.0,0.0,1405.776,0.0,0.0,0.0,0.083,4.0,0.0,15500.0,2284.39,1970.352,0.0,12.0
1409.256,0.9,4569.65,1748.94,2820.71,3883.518,0.7,0.6,0.6,0.4,5.0,24.0,30000.0,5772.813,472.104,0.0,10.0
1060.01,1.0,0.0,0.0,0.0,78.971,0.0,0.0,0.0,0.1,1.0,0.0,1200.0,233.546,257.023,0.0,10.0
83.28,0.545,899.73,899.73,0.0,0.0,0.333,0.333,0.0,0.0,0.0,5.0,8000.0,1846.833,136.934,1.0,12.0
4458.055,1.0,0.0,0.0,0.0,2806.96,0.0,0.0,0.0,0.583,18.0,0.0,7500.0,1088.755,1189.694,0.0,12.0
2416.771,1.0,4201.13,3802.21,398.92,3306.574,1.0,0.75,1.0,0.167,11.0,82.0,5500.0,6091.907,830.395,0.2,12.0
966.733,1.0,1093.0,1093.0,0.0,247.2,0.333,0.333,0.0,0.167,2.0,7.0,7500.0,1226.547,218.207,0.0,12.0
411.063,1.0,0.0,0.0,0.0,988.119,0.0,0.0,0.0,0.333,7.0,0.0,500.0,1027.321,220.508,0.091,12.0
23.587,1.0,837.48,0.0,837.48,0.0,1.0,0.0,1.0,0.0,0.0,12.0,3500.0,775.896,3.3,0.167,12.0
957.981,1.0,424.76,0.0,424.76,0.0,0.333,0.0,0.333,0.0,0.0,4.0,5000.0,504.561,337.959,0.0,12.0
1819.444,1.0,0.0,0.0,0.0,197.335,0.0,0.0,0.0,0.333,4.0,0.0,2500.0,572.901,469.774,0.0,12.0
2269.801,0.714,0.0,0.0,0.0,3359.844,0.0,0.0,0.0,0.143,3.0,0.0,3500.0,403.641,967.008,0.0,7.0
1902.444,1.0,0.0,0.0,0.0,2272.985,0.0,0.0,0.0,0.083,3.0,0.0,2500.0,2751.373,650.087,0.083,12.0
124.562,0.636,1674.16,1674.16,0.0,0.0,0.583,0.583,0.0,0.0,0.0,60.0,1800.0,2397.019,144.268,1.0,12.0
72.373,0.364,456.7,456.7,0.0,0.0,0.25,0.25,0.0,0.0,0.0,4.0,1200.0,312.288,163.341,0.0,12.0
1674.49,1.0,421.71,334.94,86.77,0.0,0.5,0.5,0.167,0.0,0.0,11.0,1700.0,790.338,691.969,0.0,12.0
2551.809,1.0,179.9,179.9,0.0,196.095,0.25,0.25,0.0,0.167,3.0,7.0,3000.0,586.174,924.178,0.0,12.0
1418.215,1.0,1003.95,408.83,595.12,0.0,0.583,0.167,0.5,0.0,0.0,15.0,11000.0,2218.323,454.602,0.0,12.0
842.601,0.909,0.0,0.0,0.0,679.673,0.0,0.0,0.0,0.333,7.0,0.0,1200.0,1901.279,324.802,0.091,12.0
970.323,1.0,0.0,0.0,0.0,2034.695,0.0,0.0,0.0,0.333,14.0,0.0,2000.0,1373.65,362.566,0.083,12.0
2569.237,1.0,0.0,0.0,0.0,498.668,0.0,0.0,0.0,0.25,14.0,0.0,2500.0,188.855,16536.251,0.0,12.0
17.141,0.818,182.1,33.6,148.5,113.919,0.25,0.083,0.083,0.083,1.0,4.0,6000.0,255.074,93.629,0.2,12.0
538.996,1.0,0.0,0.0,0.0,2156.577,0.0,0.0,0.0,0.167,2.0,0.0,1200.0,3303.661,303.153,0.111,12.0
3215.307,1.0,0.0,0.0,0.0,629.11,0.0,0.0,0.0,0.583,11.0,0.0,3500.0,1333.84,1644.953,0.0,12.0
84.831,0.636,702.32,702.32,0.0,0.0,0.333,0.333,0.0,0.0,0.0,4.0,5000.0,991.051,105.009,0.2,12.0
1106.816,1.0,0.0,0.0,0.0,176.182,0.0,0.0,0.0,0.167,3.0,0.0,1200.0,310.991,269.928,0.0,12.0
42.853,1.0,381.2,0.0,381.2,0.0,0.917,0.0,0.917,0.0,0.0,18.0,2500.0,330.101,174.767,0.8,12.0
148.511,0.364,562.24,349.0,213.24,0.0,0.333,0.083,0.25,0.0,0.0,5.0,9000.0,18.209,74.164,0.0,12.0
405.163,0.545,0.0,0.0,0.0,4679.312,0.0,0.0,0.0,0.25,8.0,0.0,17000.0,8946.496,153.783,0.75,12.0
931.828,0.545,0.0,0.0,0.0,2937.592,0.0,0.0,0.0,0.091,1.0,0.0,3500.0,2995.214,244.405,0.25,11.0
1439.41,1.0,184.7,184.7,0.0,0.0,0.167,0.167,0.0,0.0,0.0,2.0,1500.0,299.989,4792.614,0.0,12.0
75.793,1.0,1117.35,0.0,1117.35,0.0,1.0,0.0,1.0,0.0,0.0,16.0,5000.0,1060.952,183.527,1.0,12.0
111.45,1.0,1389.94,0.0,1389.94,0.0,1.0,0.0,1.0,0.0,0.0,24.0,1300.0,1356.27,167.215,1.0,12.0
125.66,1.0,636.79,636.79,0.0,0.0,0.917,0.917,0.0,0.0,0.0,11.0,1200.0,423.45,196.302,0.3,12.0
158.642,0.7,779.35,779.35,0.0,0.0,0.4,0.4,0.0,0.0,0.0,7.0,1200.0,812.07,130.978,0.0,10.0
2320.107,0.889,2118.42,2118.42,0.0,3285.571,0.222,0.222,0.0,0.556,14.0,14.0,5000.0,922.699,1312.069,0.0,9.0
35.361,1.0,587.34,0.0,587.34,0.0,1.0,0.0,1.0,0.0,0.0,14.0,11500.0,549.037,139.959,0.889,12.0
314.418,0.833,300.0,85.0,215.0,556.806,0.833,0.167,0.667,0.167,2.0,11.0,1200.0,497.385,88.127,0.25,6.0
76.06,1.0,927.1,927.1,0.0,0.0,1.0,1.0,0.0,0.0,0.0,12.0,1500.0,906.713,163.265,1.0,12.0
645.515,1.0,756.0,756.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,12.0,600.0,1305.933,883.267,0.0,12.0
2544.378,1.0,1108.54,1108.54,0.0,0.0,0.583,0.583,0.0,0.0,0.0,26.0,3000.0,524.249,831.658,0.0,12.0
645.3,1.0,1310.84,690.0,620.84,76.361,0.8,0.2,0.6,0.1,1.0,12.0,2500.0,1402.761,158.917,0.0,10.0
9502.257,1.0,2776.09,1424.05,1352.04,0.0,0.917,0.583,0.917,0.0,0.0,36.0,10500.0,4177.325,4264.642,0.0,12.0
9387.614,1.0,0.0,0.0,0.0,7968.273,0.0,0.0,0.0,0.083,1.0,0.0,12000.0,2202.135,2584.59,0.0,12.0
1376.244,1.0,0.0,0.0,0.0,501.209,0.0,0.0,0.0,0.25,4.0,0.0,1500.0,685.229,339.661,0.0,12.0
45.069,1.0,218.28,0.0,218.28,0.0,1.0,0.0,1.0,0.0,0.0,12.0,1000.0,203.223,168.936,0.0,12.0
4660.385,1.0,0.0,0.0,0.0,782.193,0.0,0.0,0.0,0.333,5.0,0.0,5000.0,1161.792,1309.519,0.0,12.0
1132.386,0.455,2246.3,2246.3,0.0,14048.072,0.333,0.333,0.0,0.417,20.0,8.0,6000.0,32048.612,406.79,0.8,12.0
563.749,0.909,5039.97,5039.97,0.0,0.0,0.833,0.833,0.0,0.0,0.0,25.0,4000.0,4714.741,200.287,0.778,12.0
1236.635,1.0,540.0,540.0,0.0,0.0,0.818,0.818,0.0,0.0,0.0,9.0,4000.0,2136.389,247.62,0.091,11.0
1914.093,1.0,538.85,487.5,51.35,0.0,0.417,0.417,0.167,0.0,0.0,9.0,2000.0,1022.911,980.07,0.0,12.0
228.026,1.0,2159.68,598.02,1561.66,0.0,1.0,0.333,1.0,0.0,0.0,46.0,3000.0,2161.394,195.402,0.5,12.0
21.871,0.636,405.0,255.0,150.0,0.0,0.333,0.083,0.25,0.0,0.0,7.0,4000.0,414.424,88.854,0.0,12.0
481.961,0.909,967.23,585.5,381.73,6718.128,0.25,0.167,0.167,0.667,19.0,15.0,1400.0,9282.027,217.823,0.571,12.0
3140.698,1.0,1961.78,1107.29,854.49,0.0,1.0,0.167,1.0,0.0,0.0,24.0,6000.0,5361.347,742.309,0.0,12.0
489.344,1.0,1446.44,1093.24,353.2,0.0,0.727,0.364,0.636,0.0,0.0,17.0,3500.0,1223.218,189.417,0.0,11.0
3211.39,1.0,0.0,0.0,0.0,4464.941,0.0,0.0,0.0,0.583,45.0,0.0,6500.0,6925.734,978.239,0.083,12.0
1477.961,1.0,349.25,0.0,349.25,0.0,0.917,0.0,0.833,0.0,0.0,11.0,1500.0,528.616,500.339,0.0,12.0
663.448,0.727,0.0,0.0,0.0,3133.064,0.0,0.0,0.0,0.25,3.0,0.0,1800.0,3067.058,283.333,0.167,12.0
60.838,1.0,387.42,0.0,387.42,0.0,0.917,0.0,0.917,0.0,0.0,11.0,1500.0,347.638,172.235,0.364,12.0
107.601,1.0,1461.15,1034.03,427.12,0.0,1.0,1.0,0.917,0.0,0.0,33.0,7500.0,1334.893,193.531,0.833,12.0
372.146,1.0,643.01,0.0,643.01,0.0,1.0,0.0,1.0,0.0,0.0,41.0,1500.0,124.958,205.066,0.0,12.0
4663.032,1.0,1325.31,1325.31,0.0,0.0,0.333,0.333,0.0,0.0,0.0,5.0,4500.0,2064.111,6004.094,0.0,12.0
1484.222,1.0,52.83,52.83,0.0,3164.678,0.167,0.167,0.0,0.25,12.0,3.0,3000.0,1871.17,413.035,0.0,12.0
953.772,1.0,747.62,747.62,0.0,1411.614,0.167,0.167,0.0,0.5,6.0,2.0,2500.0,306.65,215.801,0.0,12.0
704.91,1.0,500.5,225.5,275.0,851.158,1.0,0.167,1.0,0.333,6.0,18.0,1200.0,1713.3,425.812,0.0,12.0
744.083,1.0,1096.98,589.48,507.5,174.714,1.0,0.5,0.6,0.2,4.0,14.0,5000.0,1873.388,148.294,0.1,10.0
6.603,0.5,429.0,0.0,429.0,0.0,0.7,0.0,0.6,0.0,0.0,14.0,1000.0,493.326,18.214,0.0,10.0
40.07,0.909,833.29,833.29,0.0,0.0,1.0,1.0,0.0,0.0,0.0,12.0,7000.0,766.596,112.992,0.3,12.0
1841.469,1.0,0.0,0.0,0.0,513.752,0.0,0.0,0.0,0.5,10.0,0.0,2000.0,573.083,678.079,0.0,12.0
23.168,1.0,375.0,0.0,375.0,0.0,1.0,0.0,1.0,0.0,0.0,12.0,2500.0,389.716,178.841,0.917,12.0
391.508,0.889,80.99,80.99,0.0,2867.105,0.111,0.111,0.0,0.333,3.0,1.0,1500.0,3855.329,149.615,0.2,9.0
919.564,1.0,3000.0,0.0,3000.0,823.979,0.167,0.0,0.083,0.083,1.0,2.0,2000.0,4426.498,1451.756,0.083,12.0
3746.919,1.0,7468.37,1310.1,6158.27,0.0,1.0,0.75,1.0,0.0,0.0,139.0,10000.0,4793.231,949.061,0.0,12.0
1641.801,1.0,1192.18,328.21,863.97,1026.487,1.0,0.083,1.0,0.417,8.0,19.0,2000.0,1739.401,606.312,0.0,12.0
2964.124,1.0,118.05,0.0,118.05,157.301,0.083,0.0,0.083,0.25,4.0,2.0,3000.0,359.887,17563.485,0.0,12.0
955.159,1.0,440.57,45.65,394.92,0.0,0.667,0.083,0.667,0.0,0.0,13.0,1000.0,684.09,591.386,0.0,12.0
4415.526,1.0,0.0,0.0,0.0,1592.287,0.0,0.0,0.0,0.5,12.0,0.0,4500.0,1357.019,12926.383,0.0,12.0
35.074,1.0,72.4,0.0,72.4,0.0,0.417,0.0,0.417,0.0,0.0,5.0,1500.0,134.809,141.558,0.0,12.0
592.417,1.0,6228.01,3454.7,2773.31,0.0,1.0,1.0,1.0,0.0,0.0,117.0,4500.0,6052.323,169.98,1.0,12.0
1614.279,1.0,554.65,452.85,101.8,603.965,0.5,0.333,0.167,0.25,3.0,13.0,2000.0,485.998,624.896,0.0,12.0
59.264,0.909,203.08,0.0,203.08,956.777,0.667,0.0,0.667,0.167,2.0,8.0,2000.0,1309.187,204.315,0.273,12.0
1114.563,0.727,0.0,0.0,0.0,298.659,0.0,0.0,0.0,0.083,1.0,0.0,6000.0,3842.788,547.239,0.111,12.0
929.113,0.727,1622.0,1622.0,0.0,0.0,0.167,0.167,0.0,0.0,0.0,2.0,1800.0,269.015,226.417,0.0,12.0
1000.235,1.0,79.41,79.41,0.0,0.0,0.167,0.167,0.0,0.0,0.0,2.0,6500.0,868.377,264.329,0.0,12.0
2651.485,1.0,908.15,0.0,908.15,1008.64,1.0,0.0,1.0,0.333,9.0,23.0,3000.0,4361.679,943.469,0.083,12.0
6378.276,1.0,0.0,0.0,0.0,4169.593,0.0,0.0,0.0,0.667,15.0,0.0,10500.0,1376.688,1539.532,0.0,12.0
45.0,1.0,540.0,0.0,540.0,0.0,1.0,0.0,1.0,0.0,0.0,24.0,7000.0,675.066,193.588,1.0,12.0
