3750 8000
LINK 1690 2892
LINK 771 1605
LINK 1468 2121
LINK 3679 3450
LINK 1620 3429
ADD 265 1394
ADD 3213 2150
LINK 211 148
LINK 3471 264
ADD 3721 310
ADD 221 494
LINK 3019 2705
LINK 425 859
ADD 3070 2310
ADD 189 1787
LINK 3203 3016
LINK 283 934
ADD 1887 1079
ADD 1422 3404
LINK 147 825
LINK 3689 1134
ADD 3159 3296
ADD 3514 3580
LINK 3187 2018
ADD 599 2775
ADD 3284 1713
ADD 1384 2948
ADD 1482 2831
ADD 2525 290
LINK 2418 3540
ADD 2550 2638
ADD 1519 2146
ADD 674 3463
ADD 299 2428
ADD 1288 3356
LINK 3461 991
LINK 1944 3052
LINK 2994 1596
LINK 583 1143
LINK 1604 134
ADD 1611 216
ADD 1868 2367
ADD 1401 1055
ADD 2564 1567
ADD 3032 3511
ADD 2543 3384
ADD 3738 1062
ADD 3357 3098
LINK 3570 321
ADD 3523 1880
LINK 1357 2137
LINK 1391 1926
ADD 2055 958
LINK 303 3339
LINK 765 2631
ADD 3291 1081
ADD 1642 3117
LINK 2647 3748
LINK 3189 2174
LINK 3501 1155
LINK 117 2516
LINK 2987 2821
LINK 3142 1387
ADD 3631 2513
LINK 3439 2455
LINK 1328 3461
ADD 3689 3405
LINK 2730 2570
LINK 2567 463
LINK 178 2761
ADD 192 2864
LINK 1907 176
ADD 255 2993
ADD 515 1788
ADD 1273 3488
ADD 2960 413
ADD 1272 1682
LINK 681 486
ADD 1552 556
LINK 3635 1948
ADD 2068 669
ADD 619 949
LINK 208 1422
ADD 1966 3463
LINK 409 2431
LINK 640 1256
LINK 2963 1446
ADD 3602 3335
ADD 148 2147
ADD 1836 827
ADD 841 1627
ADD 2913 3387
ADD 2616 74
ADD 1528 905
LINK 3625 818
LINK 1005 3047
ADD 1312 2832
LINK 1656 3384
LINK 317 2039
ADD 3040 3539
LINK 323 1129
LINK 3529 605
ADD 3002 136
LINK 3740 1910
ADD 1576 651
ADD 1662 371
ADD 2363 3225
LINK 1454 2117
LINK 1913 1678
LINK 1570 679
ADD 525 574
ADD 916 2917
ADD 2114 1050
LINK 2448 1831
LINK 3261 2457
LINK 3725 488
LINK 1238 2295
ADD 879 3163
LINK 2708 3080
ADD 3249 772
LINK 3343 577
ADD 1026 3510
ADD 1773 1949
LINK 3094 703
ADD 3306 3046
ADD 1073 225
ADD 998 2031
LINK 2333 1825
ADD 1916 184
LINK 1844 2041
ADD 2691 3032
ADD 3656 2350
ADD 3219 3111
LINK 1679 3712
LINK 312 1881
LINK 1298 2890
ADD 3582 855
ADD 3520 1421
LINK 3192 1063
ADD 807 3101
ADD 620 1047
ADD 3225 3474
LINK 3683 741
LINK 2576 2047
ADD 806 2020
LINK 1819 3643
LINK 1018 1448
ADD 1592 2758
ADD 1161 2303
LINK 1606 2551
ADD 1324 2117
LINK 3255 2542
LINK 2797 567
ADD 3497 3533
LINK 847 2013
ADD 3333 1651
LINK 2291 2322
ADD 1713 1690
LINK 2429 1627
LINK 1798 3118
LINK 3310 1990
ADD 199 151
LINK 532 1361
ADD 2201 2399
ADD 2353 817
ADD 3182 844
ADD 1025 224
LINK 1803 73
ADD 3061 1528
ADD 1734 490
LINK 1385 1924
LINK 625 3078
ADD 144 968
ADD 116 1300
ADD 2890 3568
LINK 2742 144
ADD 177 3679
LINK 1985 3689
ADD 2229 2856
ADD 1655 799
ADD 3356 2386
LINK 1791 3419
LINK 2910 3437
LINK 673 2680
LINK 2016 3126
ADD 924 1708
ADD 2102 407
ADD 3240 388
ADD 3317 1460
ADD 3349 4
ADD 731 2987
ADD 68 3315
ADD 76 3696
ADD 2273 95
LINK 2655 1681
LINK 1286 1973
ADD 3221 716
LINK 2026 2691
LINK 3594 1092
LINK 3710 3083
ADD 184 513
LINK 3099 561
ADD 1750 2045
ADD 2289 746
ADD 1314 2874
LINK 905 161
LINK 3239 2587
ADD 607 788
LINK 2247 122
ADD 1937 1980
LINK 2848 1671
ADD 2804 730
LINK 2711 2898
ADD 25 2477
LINK 1279 307
ADD 2733 1839
ADD 1410 1634
ADD 1048 483
LINK 824 1476
LINK 502 932
ADD 809 3676
ADD 54 3576
ADD 1934 2009
LINK 1232 2978
LINK 1146 1245
ADD 2561 777
ADD 700 1853
ADD 2057 1513
ADD 1831 1204
ADD 1176 2547
ADD 2593 1447
ADD 1337 157
ADD 3353 3702
ADD 1470 3488
ADD 758 1925
LINK 1188 749
ADD 789 1218
LINK 2378 28
LINK 2784 2122
LINK 229 2139
LINK 82 1586
ADD 1609 3025
LINK 3448 1462
LINK 1393 2686
LINK 2026 1524
ADD 3570 723
ADD 1543 3348
ADD 1908 654
LINK 3215 901
ADD 3736 2983
ADD 3086 1235
ADD 3034 3688
LINK 447 879
LINK 2098 46
ADD 2798 2464
LINK 1243 3340
LINK 2147 2571
ADD 2754 1437
LINK 3088 1502
LINK 1574 2126
ADD 3056 2837
LINK 253 1766
ADD 1945 12
LINK 2315 2842
ADD 162 741
LINK 198 3400
ADD 1880 2345
ADD 2172 3690
ADD 35 3024
LINK 3313 2515
ADD 2828 1291
ADD 3130 1144
ADD 636 3067
ADD 1252 535
LINK 1613 2688
LINK 428 2970
LINK 1744 9
LINK 1942 3194
ADD 3210 2692
ADD 3057 185
ADD 2247 3274
LINK 81 3285
LINK 3707 88
LINK 2584 3511
ADD 3652 365
ADD 3638 108
LINK 2320 1245
LINK 1933 1564
LINK 3461 2328
LINK 812 3677
ADD 2965 1357
ADD 3557 3165
ADD 3048 1394
LINK 1247 2622
LINK 2789 3435
ADD 780 2891
ADD 453 1334
LINK 20 1274
ADD 3534 1028
LINK 353 3122
LINK 912 3410
LINK 3312 101
LINK 683 2767
LINK 786 2588
ADD 697 3360
ADD 1781 510
LINK 2417 1399
LINK 1986 1646
LINK 2544 3668
LINK 3507 1038
ADD 735 2169
ADD 1328 1458
ADD 636 1350
ADD 487 391
ADD 1168 872
ADD 2129 289
ADD 515 3432
LINK 2857 1816
LINK 1407 3164
ADD 3200 2123
ADD 303 2048
ADD 743 1329
LINK 1841 1406
LINK 2709 622
LINK 974 770
ADD 882 351
LINK 2438 891
ADD 1780 2258
LINK 2475 1360
ADD 419 3128
ADD 697 1722
LINK 3407 3240
LINK 2294 3713
LINK 1825 1975
ADD 3024 821
LINK 3034 3633
LINK 1776 496
ADD 2455 2869
LINK 1711 3205
LINK 2354 349
ADD 1966 3197
ADD 2503 272
ADD 3481 2859
LINK 3521 3288
LINK 2423 1789
ADD 2752 471
LINK 1174 3740
ADD 292 2282
ADD 533 2250
ADD 1903 791
ADD 134 143
LINK 2408 1293
LINK 1152 2499
LINK 3189 930
LINK 1936 3332
LINK 3052 1866
ADD 1763 2063
ADD 3462 509
LINK 1982 1703
LINK 991 1820
ADD 3659 977
LINK 563 2653
LINK 3654 3528
LINK 2761 2670
ADD 809 1639
ADD 1660 2455
LINK 132 3128
ADD 1485 1813
LINK 1616 3547
ADD 2665 269
ADD 1604 2303
LINK 3565 2313
ADD 1365 1778
LINK 1791 2372
LINK 2041 2184
LINK 3125 2302
ADD 2361 2879
ADD 3383 1640
ADD 2469 2766
ADD 1151 2635
LINK 3640 2643
ADD 2159 416
LINK 2874 3487
ADD 1469 1776
ADD 1335 1811
LINK 203 2840
ADD 3171 1360
LINK 1194 1035
ADD 2131 2834
ADD 926 829
LINK 217 901
ADD 2654 1936
ADD 245 1163
ADD 3707 2709
ADD 2849 1953
LINK 7 1091
ADD 3724 2709
ADD 3298 1106
ADD 1933 717
ADD 1643 3393
LINK 2277 619
ADD 3427 235
ADD 1916 831
ADD 3491 930
ADD 2581 2019
LINK 604 108
LINK 363 3029
ADD 3420 2724
LINK 1405 640
LINK 3311 2859
LINK 813 3381
ADD 1547 1706
LINK 2265 2389
ADD 1642 131
ADD 137 3071
LINK 3257 2896
LINK 916 366
ADD 1821 225
LINK 3159 2634
LINK 1491 2771
ADD 1271 364
LINK 3314 3035
ADD 1066 2402
ADD 3524 2778
ADD 1197 2782
LINK 1185 1386
LINK 1173 343
ADD 2844 523
ADD 1714 3075
LINK 1114 536
LINK 1684 1488
LINK 1799 4
ADD 100 1885
ADD 700 1707
ADD 3500 1854
LINK 2870 1904
LINK 335 701
ADD 2395 2310
LINK 2485 2068
LINK 21 2222
LINK 572 1241
ADD 1163 2226
ADD 424 1992
ADD 1864 3230
LINK 3685 2675
ADD 277 554
ADD 2115 3696
LINK 2693 840
LINK 194 2567
LINK 3319 250
ADD 182 2983
LINK 2405 3353
LINK 2031 1032
ADD 2641 2639
ADD 600 787
ADD 3046 2053
ADD 210 3421
LINK 2018 251
LINK 320 1292
ADD 1360 1344
LINK 148 2102
ADD 783 55
LINK 1986 2701
ADD 1533 1439
ADD 3370 1765
LINK 848 1670
LINK 2666 2749
LINK 305 3277
ADD 406 1274
LINK 760 550
ADD 3473 2515
LINK 1900 255
ADD 616 109
ADD 3512 1424
ADD 1071 1210
ADD 3558 551
LINK 3391 1682
ADD 1263 2555
LINK 431 2221
ADD 2424 2219
LINK 1925 2528
ADD 513 2118
ADD 1190 1615
LINK 1922 1942
ADD 2486 1801
LINK 2547 2876
LINK 3643 3664
LINK 1353 3716
LINK 2296 1385
ADD 630 1167
LINK 265 2376
ADD 1212 792
LINK 1913 12
ADD 2914 500
ADD 479 2544
LINK 3169 3464
ADD 3443 1806
LINK 2269 437
LINK 1377 2192
ADD 390 2043
ADD 3233 537
ADD 2374 2387
LINK 3150 723
LINK 2081 2354
LINK 1239 420
ADD 1639 638
ADD 1107 3335
LINK 2956 1647
LINK 1483 2818
LINK 2100 3049
LINK 2540 55
ADD 2799 3716
LINK 2093 2179
ADD 694 1325
LINK 2192 2913
LINK 1456 3170
LINK 3565 3281
ADD 1652 486
LINK 504 342
LINK 3102 2925
ADD 388 3300
ADD 2016 2438
ADD 2470 1234
ADD 3327 741
ADD 2233 454
ADD 2914 1640
ADD 483 1390
ADD 1612 431
LINK 2791 460
LINK 799 2541
ADD 114 2506
LINK 381 2126
LINK 2272 3570
ADD 53 2636
LINK 1840 1068
LINK 744 3607
ADD 124 1088
ADD 1887 618
ADD 936 2111
ADD 1766 1127
ADD 1284 1236
ADD 3067 3667
ADD 959 763
LINK 281 60
LINK 2574 1297
LINK 855 99
LINK 1623 1576
ADD 246 461
LINK 972 300
LINK 2342 2229
LINK 1986 789
ADD 800 2805
ADD 2540 2760
ADD 3103 2603
LINK 2073 2592
LINK 1571 3384
LINK 1419 2164
ADD 3395 3394
LINK 3515 1788
ADD 3040 899
LINK 2120 2226
ADD 3104 426
LINK 641 160
ADD 459 414
ADD 2890 3342
ADD 2152 1238
ADD 52 987
LINK 1241 840
LINK 528 2942
LINK 645 3742
LINK 66 1497
ADD 384 2157
ADD 1771 2274
LINK 574 105
LINK 2489 2329
LINK 2766 1184
LINK 150 1700
LINK 3394 2470
ADD 524 2970
LINK 1950 1769
LINK 2124 1284
LINK 2100 3147
ADD 2848 2627
ADD 786 3697
LINK 983 2608
ADD 1279 736
ADD 3047 1788
LINK 3471 572
ADD 2687 1650
LINK 1859 362
ADD 41 1778
LINK 3385 796
ADD 3062 657
LINK 3148 277
ADD 2490 3717
ADD 2387 210
LINK 1961 2970
ADD 2005 22
ADD 1609 1505
LINK 1276 2972
LINK 1391 1191
LINK 2551 1308
ADD 3744 3122
ADD 855 3468
ADD 420 3370
LINK 3441 3128
LINK 683 2551
LINK 3602 2977
LINK 959 3747
LINK 2200 489
LINK 2799 2302
LINK 101 1410
ADD 1773 528
ADD 802 2036
LINK 725 3430
ADD 3061 709
ADD 3549 1531
ADD 1440 1058
LINK 1983 3388
LINK 1966 1228
ADD 2518 752
LINK 3563 2233
ADD 1528 2384
ADD 149 2175
ADD 3548 464
LINK 1591 2984
LINK 226 2528
ADD 631 1717
LINK 2697 2583
LINK 1826 2635
LINK 3122 3437
ADD 454 618
LINK 3508 1931
ADD 436 2655
LINK 958 3413
LINK 3052 1809
ADD 149 1369
ADD 989 2184
LINK 969 401
LINK 409 654
LINK 1987 930
ADD 583 1086
LINK 1656 3678
LINK 219 531
LINK 387 1673
LINK 2470 2514
LINK 2303 2449
LINK 3620 3576
ADD 3313 435
LINK 837 3524
LINK 3522 1390
LINK 1657 1447
LINK 2927 1168
ADD 751 2144
LINK 2100 2127
ADD 2560 573
LINK 3480 247
ADD 45 2536
LINK 2446 1650
LINK 3443 3345
ADD 663 3306
LINK 3377 815
ADD 3714 2252
ADD 685 1889
ADD 981 3563
ADD 2707 557
ADD 3669 712
LINK 246 503
LINK 2230 1454
LINK 3531 3257
ADD 3542 2315
ADD 2462 3610
LINK 3603 3227
LINK 2177 3289
ADD 1292 2092
LINK 2289 2256
ADD 343 21
LINK 2391 2176
LINK 1274 1023
ADD 2388 3602
ADD 3711 2115
ADD 3360 3085
ADD 2811 501
LINK 2758 2937
ADD 884 131
ADD 1093 1246
LINK 2766 3486
ADD 2899 2970
LINK 1016 360
LINK 3624 1127
ADD 766 1804
ADD 582 2836
ADD 536 2030
LINK 727 507
LINK 30 1944
