Food|Calcium [mg]|Serving Size|Weight [g]|Percent water|Energy [kcal]|Protein [g]|Carbohydrate [g]|Fiber [g]|Cholesterol [mg]|Total Fat [g]|Saturate Fat [g]|Monosat Fat [g]|Polyunsat Fat [g]|Iron [mg]|Magnesium [mg]|Sodium [mg]|Phosphorous [mg]|Ca:P ratio|Potassium [mg]|Zinc [mg]|Niacin [mg]|Thiamin [mg]|Riboflavin [mg]|Vit A [RE]|Vit B6 [mg]|Vit C [mg]|Food type
Carbonated Cola (12 fl oz)|9|1 1/2 cups|370|99|0|0|0|0|0|0|0|0|0|0,1|3|14|46|0,2|4|0|0|0|0|0|0|0|BEVERAGES
Carbonated Diet Cola (12 fl oz)|12|1 1/2 cups|355|99|2|0,2|0,3|0|0|0|0|0|0|0,1|4|21|30|0,4|0|0,3|0|0,02|0,08|0|0|0|BEVERAGES
Coffee Brewed|4|1 cup|240|99|2|0,1|1,1|0|0|0|0|0|0|1|14|5|2|2|130|0|0,53|0|0|0|0|0|BEVERAGES
Coffee Instant|8|1 cup|240|99|2|0,3|0,9|0|0|0|0|0|0|0,1|11|8|8|1|87|0,1|0,69|0|0,01|0|0|0|BEVERAGES
Tea Brewed|0|1 cup|240|99|2|0|0,5|0|0|0|0|0|0|0|7|6,7|1|0|89|0|0,1|0|0,03|0|0|0|BEVERAGES
Cucumber with peel|4|6 slices|28|96|4|0,2|0,8|0,4|0|0,1|0|0|0|0,1|3|0,6|5|0,8|42|0,1|0,09|0,01|0,01|1|0,01|1|VEGETABLES AND LEGUMES
Pepper black|9|1 tsp|2|11|5|0,2|1,4|0,3|0|0,1|0|0|0|0,5|4|1|3,67|2,45|26,7|0|0,02|0,01|0,01|0|0|0|MISCELLANEOUS
Pickles dill medium|17|1 pickle|65|93|5|0,5|1,4|0,9|0|0,1|0|0|0|0,7|8|928|14|1,21|130|0,2|0,01|0,01|0,01|7|0,01|4|MISCELLANEOUS
Celery, pascal large stalk|14|1 stalk|40|95|6|0,3|1,4|0,8|0|0,1|0|0|0|0,2|5|0,35|10|1,4|114|0,1|0,12|0,01|0,01|5|0,01|3|VEGETABLES AND LEGUMES
Chili powder|7|1 tsp|3|8|8|0,3|1,4|0,6|0|0,4|0,1|0,1|0,2|0,4|4|26|8|0,88|50|0,1|0,2|0,01|0,02|91||2|MISCELLANEOUS
Mushrooms raw sliced|2|1/2 cup|35|92|9|0,7|1,6|0,8|0|0,1|0|0|0,1|0,4|4|1|36|0,06|130|0,3|1,44|0,04|0,16|0|0,03|1|VEGETABLES AND LEGUMES
Pretzels, thin sticks|1|10 ea|3|2|10|0,3|2,4|0,1|0|0,1|0|0|0|0,1|1|48|3|0,33|3|0|0,13|0,01|0,01|0|0,01|0|BAKED GOODS
Spinach raw chopped|55|1 cup|56|92|12|1,6|2|2,3|0|0,2|0|0|0,1|1,5|44|44|27|2,04|312|0,3|0,41|0,04|0,11|376|0,11|16|VEGETABLES AND LEGUMES
Bouillon|10|1 packet|6|3|15|1|1|0|0|1|0,3|0,2|0|0,1|3|627|23|0,43|47|0,1|0,4|0,02|0,04|0|0,01|0|SOUPS, SAUCES, AND GRAVIES
Cauliflower - Cooked, raw|17|1/2 cup|62|92|15|1,2|2,9|1,7|0|0,1|0|0|0,1|0,3|7|4|22|0,77|200|0,1|0,34|0,04|0,04|0|0,12|34|VEGETABLES AND LEGUMES
Raw white|4|1 ea|33|88|16|3,4|0,4|0|0|0|0|0|0|0|3|50|4|1|45|0,1|0,03|0,01|0,09|0|0,01|0|EGGS
Melba toast, plain|6|1 pce|5|4|20|1|4|0,1|0|0,3|0,1|0,1|0,1|0,1|30|44|10|0,6|11|0,4|0,1|0,01|0,01|0|0,01|0|BAKED GOODS
Lettuce Butterhead/Boston|52|1 head|163|96|21|2,1|3,8|2,7|0|0,4|0|0|0,2|0,5|18|8|38|1,37|419|0,4|0,49|0,1|0,1|158|0,11|13|VEGETABLES AND LEGUMES
Asparagus, raw cuts and tips|22|1/2 cup|90|92|22|2,3|4|1,6|0|0,3|0,1|0|0,1|0,6|17|4|55|0,4|279|0,4|0,95|0,09|0,11|75|0,13|25|VEGETABLES AND LEGUMES
Tomatoes raw whole|9|1 tomato|123|94|24|1,1|5,3|2,2|0|0,3|0|0|0,1|0,6|14|10|28|0,32|255|0,1|0,74|0,07|0,06|139|0,09|22|VEGETABLES AND LEGUMES
Bamboo shoots, canned and sliced|10|1 cup|131|94|25|2,3|4,2|3,3|0|0,5|0,1|0|0,2|0,4|6|9|33|0,3|105|0,3|0,18|0,03|0,03|1||1|VEGETABLES AND LEGUMES
Dandelion greens (raw)|147|1 cup|55|86|25|1,5|5,1|0,9|0|0,4|0|0|0,2|1,9|20|42|36|4,08|218|0,6|0,39|0,1|0,14|770|0,04|19|VEGETABLES & LEGUMES
Beets cooked sliced or diced|9|1/2 cup|85|91|26|0,9|5,7|2|0|0,1|0|0|0|0,5|31|42|26|0,35|266|0,2|0,23|0,03|0,01|1|0,03|5|VEGETABLES AND LEGUMES
Popcorn, air popped plain|1|1 cup|8|4|30|1|6|1,4|0|0,4|0|0,1|0,2|0,2|23|0,5|22|0,05|20|0,2|0,2|0,03|0,01|1|0,02|0|GRAIN PRODUCTS
Carrots whole raw|19|1 carrot|72|88|31|0,7|7,3|2|0|0,1|0|0|0,1|0,4|11|25|32|0,59|233|0,1|0,67|0,07|0,04|2025|0,11|7|VEGETABLES AND LEGUMES
Water chestnuts canned sliced|3|1/2 cup|70|86|35|0,6|8,7|0,6|0|0,1|0|0|0|0,6|3|6|14|0,21|82|0,3|0,25|0,01|0,02|0||0,9|VEGETABLES AND LEGUMES
Wheat cracker, thin|3|4 ea|8|3|35|1|5|0,4|0|1,4|0,5|0,5|0,4|0,3|7|69|15|0,2|17|0,2|0,4|0,04|0,03|0|0,01|0|BAKED GOODS
Peaches raw whole|4|1 ea|87|88|37|0,6|9,6|2|0|0,1|0|0|0|0,1|6|0|10|0,4|171|0,1|0,86|0,01|0,04|47|0,02|6|FRUITS
Eggplant cooked|10|1 cup|160|92|45|1,3|10,6|6|0|0,4|0,1|0|0,1|0,6|21|5|35|0,29|397|0,2|0,96|0,12|0,03|10|0,14|2|VEGETABLES AND LEGUMES
Honeydew|8|1 pce|129|90|45|0,6|11,8|1,4|0|0,1|0|0|0|0,1|9|13|13|0,62|350|0,1|0,77|0,1|0,02|5|0,08|32|FRUITS
Vegetable juice cocktail canned|27|1 cup|242|94|46|1,5|11|1,5|0|0,2|0|0|0,1|1|27|883|41|0,66|467|0,5|1,76|0,1|0,07|283|0,34|67|VEGETABLES AND LEGUMES
Cherries sweet raw without pits|10|10 ea|68|81|49|0,8|11,3|1,3|0|0,7|0,1|0,2|0,2|0,3|8|0|13|0,77|152|0|0,3|0,03|0,04|15|0,02|5|FRUITS
Cheese crackers|11|10 ea|10|4|50|1|6|0|6|3|0,9|1,2|0,3|0,3|22|112|17|0,65|17|0,1|0,4|0,05|0,04|5|0,01|0|BAKED GOODS
Saltine crackers|3|4 ea|12|4|50|1|9|0,1|4|1,1|0,5|0,4|0,2|0,5|3|165|12|0,25|17|0,1|0,6|0,06|0,05|0|0,01|0|BAKED GOODS
